Title,Image_Name,Cleaned_Ingredients,ingredient_list,multi_hot
Coconut Lime Mussels,coconut-lime-mussels-361530,"['2 tbsp extra-virgin olive oil', '2 shallots, minced', '2 garlic cloves, minced', '2 tsp peeled and grated fresh ginger', '2 tsp minced lemongrass', '3 tbsp fresh lime juice', '2 cups/480 ml dry white wine', '1 cup/240 ml unsweetened coconut milk', '2 to 2 1/2 lb/910 g to 1.2 kg mussels, scrubbed and debearded', '2 tbsp minced fresh flat-leaf (Italian) parsley or scallions']","['extra-virgin olive oil', 'shallots', 'garlic', 'ginger', 'lemongrass', 'lime juice', 'white wine', 'coconut milk', 'muss', 'leaf', 'parsley', 'scallion']",[0 0 0 ... 0 0 0]
Caramelized Blood Orange and Almond Sundaes,caramelized-blood-orange-and-almond-sundaes-240674,"['3 blood oranges', '2/3 cup (packed) golden brown sugar', '3 tablespoons unsalted butter, diced', '1 quart vanilla ice cream', '1/2 cup sliced almonds, toasted', 'Fleur de sel* (optional)']","['blood oranges', 'golden brown sugar', 'ted butter', 'vanilla ice cream', 'almonds', 'fleur de sel']",[0 0 0 ... 0 0 0]
Pork Chops Scarpariello,pork-chops-scarpariello-243200,"['2 red bell peppers', '5 garlic cloves, finely chopped, divided', '1 teaspoon finely chopped rosemary', '3 tablespoons extra-virgin olive oil, divided', '4 (1-inch-thick) bone-in pork chops (2 pounds total)', '1 medium onion, chopped', '4 fresh red or green cherry peppers or 2 fresh red jalapeños (1/4 pounds total), finely chopped', '1/2 cup dry white wine', '1/2 cup reduced-sodium chicken broth', '2 tablespoons unsalted butter', '1 teaspoon fresh lemon juice', '1/4 cup coarsely chopped flat-leaf parsley']","['red bell peppers', 'garlic', 'rosemary', 'extra-virgin olive oil', 'pork chops', 'onion', 'red', 'pepper', 'white wine', 'chicken broth', 'ted butter', 'lemon juice', 'leaf parsley']",[0 0 0 ... 0 0 0]
"Shrimp, Mango, and Avocado Salad with Sweet Chili-Ginger Vinaigrette",shrimp-mango-and-avocado-salad-with-sweet-chili-ginger-vinaigrette-359951,"['1/2 cup Asian sweet chili sauce', '2 tablespoons unseasoned rice vinegar', '1 tablespoon minced peeled fresh ginger', '12 peeled cooked large shrimp with tails left intact (about 8 ounces)', '1 large head of butter lettuce, leaves separated', '1 large mango, peeled, pitted, cut into 1/3-inch-thick slices', '1 avocado', 'halved', 'pitted', 'peeled', 'cut into 1/3-inch-thick slices']","['asian sweet chili sauce', 'rice vinegar', 'ginger', 'shrimp', 'butter lettuce', 'mango', 'avocado']",[0 0 0 ... 0 0 0]
Basic French Vinaigrette,basic-french-vinaigrette-51183010,"['2 tablespoons finely chopped shallots', '2 tablespoons red- or white-wine vinegar', '1/4 teaspoon fine sea salt, or to taste', '2 teaspoons Dijon mustard', '4 to 6 tablespoons extra-virgin olive oil', 'Freshly ground black pepper to taste']","['shallots', 'red', 'white-wine vinegar', 'sea salt', 'dijon mustard', 'extra-virgin olive oil', 'black pepper']",[0 0 0 ... 0 0 0]
Pan-Seared Chicken with Tarragon Butter Sauce,pan-seared-chicken-with-tarragon-butter-sauce-232304,"['1/4 cup finely chopped shallot (1 large)', '1/2 stick (1/4 cup) unsalted butter, cut into 1/2-inch cubes', '1/3 cup dry white wine', '2 lb thin-sliced skinless boneless chicken breasts (also called cutlets)', '3/4 teaspoon salt', '3/8 teaspoon black pepper', '3 tablespoons olive oil', '1/4 cup chopped fresh tarragon', '1 tablespoon finely chopped fresh flat-leaf parsley', '2 teaspoons fresh lemon juice']","['shallot', 'ted butter', 'white wine', 'chicken breasts', 'salt', 'black pepper', 'olive oil', 'tarragon', 'flat', 'leaf parsley', 'lemon juice']",[0 0 0 ... 0 0 0]
Rabbit Ragù,rabbit-ragu-233984,"['1/4 cup plus 1 tablespoon extra-virgin olive oil', '2 tablespoons unsalted butter', '1 (1/4-lb) piece pancetta (Italian unsmoked cured bacon), cut into 1/4-inch dice', '1 tablespoon finely chopped fresh sage', '1 1/2 teaspoons finely chopped fresh rosemary', '1 (3-lb) rabbit, boned by butcher and meat cut into 1-inch pieces (1 1/2 lb boned)', '1 medium onion, chopped', '1 medium carrot, chopped', '1 celery rib, chopped', '1 cup light dry red wine such as Pinot Noir', '1 (14-oz) can Italian plum tomatoes in juice, drained and chopped', '1 1/4 teaspoons coarse gray sea salt', '1/2 teaspoon coarsely ground black pepper', 'Accompaniment: buttered polenta']","['extra', 'virgin olive oil', 'ted butter', 'pancetta', 'sage', 'rosemary', 'rabbit', 'onion', 'carrot', 'celery rib', 'red wine', 'italian plum tomatoes', 'juice', 'gray sea salt', 'black pepper', 'polenta']",[0 0 0 ... 0 0 0]
Moroccan Spiced Olives,moroccan-spiced-olives-352280,"['2 cups green olives (with pits) in brine (10 ounces), such as picholine or Cerignola, lightly smashed to crack open slightly', '4 garlic cloves, sliced', '1/4 cup extra-virgin olive oil', '2 teaspoons tomato paste', '1/3 cup water', '2 teaspoons harissa (North African spice paste)', '3 (4-to 5-inch) thyme sprigs', '2 thin lemon slices']","['green olives', 'garlic', 'extra-virgin olive oil', 'tomato paste', 'water', 'harissa', 'thyme', 'lemon']",[0 0 0 ... 0 0 0]
Hanger Steak with Shallots and Jerusalem Artichokes,hanger-steak-with-shallots-and-jerusalem-artichokes-51248460,"['2 tablespoons unsalted butter', '1 pound shallots, peeled, roots left intact', '1/4 teaspoon coarsely ground black pepper', '1 teaspoon kosher salt, plus more', '2 tablespoons plus 1/4 cup red wine vinegar', '1/4 cup olive oil', '1 teaspoon finely chopped Fresno chile', '1 pound Jerusalem artichokes (sunchokes), cut into 1/2"" pieces', 'Kosher salt', '3 tablespoons heavy cream', '1 tablespoons unsalted butter', '3 tablespoons olive oil', '1 1/2 pound hanger steak, center membrane removed, cut into 4 pieces', 'Kosher salt', '2 lemons, halved', 'Olive oil', 'Freshly ground black pepper', '1/4 cup fresh flat-leaf parsley leaves with tender stems', '2 tablespoons fresh mint leaves', '2 tablespoons torn fennel fronds']","['ted butter', 'shallots', 'black pepper', 'kosher salt', 'red wine vinegar', 'olive oil', 'fresno chile', 'jerusalem artichokes', 'heavy cream', 'hanger steak', 'lemons', 'leaf parsley leaves', 'mint leaves', 'torn fennel fronds']",[0 0 0 ... 0 0 0]
Nacho Macaroni and Cheese,nacho-macaroni-and-cheese-237298,"['2 cups small elbow macaroni', '1/2 cup bottled thick and chunky salsa verde (medium heat)', '1 cup (packed) fresh cilantro leaves', '3 cups (packed) coarsely grated sharp cheddar cheese (12 ounces), divided', '4 teaspoons all purpose flour', '1 cup whole milk', '3/4 cup heavy whipping cream', '1/4 teaspoon (scant) ground cloves', '1 cup large corn chips']","['elbow macaroni', 'salsa verde', 'cilantro leaves', 'cheddar cheese', 'all purpose flour', 'milk', 'heavy whipping cream', 'cloves', 'corn chips']",[0 0 0 ... 0 0 0]
Chicken in Garlic-Almond Sauce,chicken-in-garlic-almond-sauce-51117260,"['4 tablespoons olive oil, divided', '1/2 cup slivered almonds', '2 cups 1/2"" cubes crustless white bread', '4 garlic cloves', '2 cups low-sodium chicken broth', '2/3 cup dry Sherry or white wine', '1/2 teaspoon freshly ground black pepper plus more for seasoning', '1/2 teaspoon saffron threads (optional)', 'Kosher salt', '4 chicken legs (thigh and drumstick)', '1 onion, minced', '1 tablespoon chopped flat-leaf parsley']","['olive oil', 'almonds', 'white bread', 'garlic', 'chicken broth', 'sherry', 'black pepper', 'saffron threads', 'kosher salt', 'chicken legs', 'onion', 'leaf parsley']",[0 0 0 ... 0 0 0]
Egg-Topped Soba Noodles with Asparagus and Prosciutto,egg-topped-soba-noodles-with-asparagus-and-prosciutto-357234,"['4 tablespoons extra-virgin olive oil, divided', '5 garlic cloves, coarsely chopped', '1 3-ounce package thinly sliced prosciutto, cut crosswise into strips', '8 large eggs', '1 9.5-ounce package thin soba noodles', '1 pound asparagus, ends trimmed, cut on sharp diagonal into 1/8-inch-thick slices', '1 cup freshly grated Parmesan cheese plus additional cheese shavings']","['extra-virgin olive oil', 'garlic', 'prosciutto', 'eggs', 'soba noodles', 'asparagus', 'parmesan cheese', 'cheese']",[0 0 0 ... 0 0 0]
Lemongrass-Lime Leaf,lemongrass-lime-leaf-365192,"['1/4 cup lemon zest (from 6 lemons)', '1/4 cup lime zest (from 8 limes)', '20 makrut lime leaves', '2 stalks lemongrass, roughly chopped', '3/4 cup Simple Syrup , divided', '6 cups soda water', 'divided']","['lemon zest', 'lime zest', 'makrut lime', 'lemongrass', 'simple syrup', 'soda water']",[0 0 0 ... 0 0 0]
Lamb Souvlaki with Yogurt-Garlic Sauce,lamb-souvlaki-with-yogurt-garlic-sauce-230227,"['2 tbsp extra-virgin olive oil', '1 tbsp chopped fresh garlic', '1 1/2 tsp oregano', '3/4 tsp freshly ground black pepper', '3/8 tsp kosher salt', '3/4 lb lamb, cut from the leg into 12 equal-sized cubes', '2 yellow bell peppers, cored and cut into 1-inch strips', '1 red onion, cut into 8 pieces', '16 cherry tomatoes', 'Vegetable-oil cooking spray', '4 whole-wheat pitas', '2 cucumbers, peeled and chopped', '1 fresh tbsp lemon juice', '3/4 cup nonfat Greek-style yogurt (such as Total brand)', '1 tsp chopped fresh garlic']","['extra-virgin olive oil', 'garlic', 'oregano', 'black pepper', 'kosher salt', 'lamb', 'yellow bell peppers', 'red onion', 'cherry tomatoes', 'vegetable', 'oil cooking spray', 'wheat pitas', 'cucumbers', 'lemon juice', 'greek', 'yogurt']",[0 0 0 ... 0 0 0]
