Title,Image_Name,Macronutrients,Protein,Fat,Carbs,Total Calories
Spiral Ham in the Slow Cooker,spiral-ham-in-the-slow-cooker-guarnaschelli,"[Protein = 80g, Fat = 40g, Carbs = 90g, Total Calories = 1000]",80.0,40.0,90.0,1000.0
Butternut Squash and Apple Soup,butternut-squash-apple-soup-365210,"[Protein = 20g, Fat = 18g, Carbs = 40g, Total Calories = 450]",20.0,18.0,40.0,450.0
Caesar Salad Roast Chicken,caesar-salad-roast-chicken,"[Protein = 80g, Fat = 55g, Carbs = 120g, Total Calories = 1450]",80.0,55.0,120.0,1450.0
Chicken and Rice With Leeks and Salsa Verde,chicken-and-rice-with-leeks-and-salsa-verde,"[Protein = 45g, Fat = 60g, Carbs = 90g, Total Calories = 1100]",45.0,60.0,90.0,1100.0
Gorditas con Camarones,gorditas-con-camarones,"[Protein = 30g, Fat = 25g, Carbs = 55g, Total Calories = 650]",30.0,25.0,55.0,650.0
Enfrijoladas,enfrijoladas,"[Protein = 55g, Fat = 45g, Carbs = 80g, Total Calories = 950]",55.0,45.0,80.0,950.0
Caramelized Plantain Parfait,caramelized-plantain-parfait,"[Protein = 5g, Fat = 25g, Carbs = 35g, Total Calories = 350]",5.0,25.0,35.0,350.0
Chicken and Potato Gratin With Brown Butter Cream,chicken-and-potato-gratin-brown-butter-cream,"[Protein = 100g, Fat = 70g, Carbs = 75g, Total Calories = 1200]",100.0,70.0,75.0,1200.0
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,roasted-beets-with-crispy-sunchokes-and-pickled-orange-ginger-puree,"[Protein = 0g, Fat = 0g, Carbs = 35g, Total Calories = 140]",0.0,0.0,35.0,140.0
Kale and Pumpkin Falafels With Pickled Carrot Slaw,kale-and-pumpkin-falafels-with-pickled-carrot-slaw,"[Protein = 25g, Fat = 15g, Carbs = 75g, Total Calories = 600]",25.0,15.0,75.0,600.0
Maple and Chile Roasted Squash With Quinoa Tabouli,maple-chile-roasted-pumpkin-with-quinoa-tabouli,"[Protein = 10g, Fat = 25g, Carbs = 55g, Total Calories = 700]",10.0,25.0,55.0,700.0
Chhena Poda (Spiced Cheesecake),chhena-poda-paneer-cheesecake,"[Protein = 20g, Fat = 30g, Carbs = 40g, Total Calories = 500]",20.0,30.0,40.0,500.0
Paneer,homemade-paneer-recipe,"[Protein = 15g, Fat = 20g, Carbs = 30g, Total Calories = 450]",15.0,20.0,30.0,450.0
Sloppy Joe Shirred Eggs With Spinach,sloppy-joe-shirred-eggs-with-spinach-vivian-howard,"[Protein = 40g, Fat = 25g, Carbs = 60g, Total Calories = 650]",40.0,25.0,60.0,650.0
R-Rated Onions,r-rated-caramelized-onions-vivian-howard,"[Protein = 2g, Fat = 2g, Carbs = 10g, Total Calories = 100]",2.0,2.0,10.0,100.0
Miso-Squash Ramen,miso-squash-ramen-hetty-mckinnon,"[Protein = 5g, Fat = 10g, Carbs = 20g, Total Calories = 200]",5.0,10.0,20.0,200.0
Spicy Coconut Pumpkin Soup,spicy-coconut-pumpkin-soup,"[Protein = 3g, Fat = 8g, Carbs = 30g, Total Calories = 250]",3.0,8.0,30.0,250.0
Baigan Chokha,baigan-chokha-trinidadian-broiled-grilled-mashed-eggplant,"[Protein = 4g, Fat = 2g, Carbs = 20g, Total Calories = 150]",4.0,2.0,20.0,150.0
Dad’s Curried Chicken,dads-trinidadian-curried-chicken,"[Protein = 50g, Fat = 45g, Carbs = 60g, Total Calories = 950]",50.0,45.0,60.0,950.0
Trinidad Curry Powder,trinidad-curry-powder,"[Protein = 0g, Fat = 0g, Carbs = 1g, Total Calories = 5]",0.0,0.0,1.0,5.0
Shrimp Creole,shrimp-creole-14653,"[Protein = 35g, Fat = 15g, Carbs = 45g, Total Calories = 600]",35.0,15.0,45.0,600.0
Green Seasoning,trinidadian-green-seasoning,"[Protein = 4g, Fat = 0g, Carbs = 6g, Total Calories = 50]",4.0,0.0,6.0,50.0
Chicken Pelau,pelau-234498,"[Protein = 40g, Fat = 30g, Carbs = 75g, Total Calories = 900]",40.0,30.0,75.0,900.0
Our Favorite Creamy Mashed Potatoes,our-favorite-creamy-mashed-potatoes,"[Protein = 12g, Fat = 25g, Carbs = 45g, Total Calories = 500]",12.0,25.0,45.0,500.0
Remember the Alimony,remember-the-alimony-cocktail,"[Protein = 0g, Fat = 0g, Carbs = 0g, Total Calories = 0]",0.0,0.0,0.0,0.0
Creole Cream Cheesecake With Caramel-Apple Topping,creole-cream-cheesecake-with-caramel-apple-topping,"[Protein = 30g, Fat = 35g, Carbs = 60g, Total Calories = 800]",30.0,35.0,60.0,800.0
Creole Cream Cheese,creole-cream-cheese,"[Protein = 20g, Fat = 10g, Carbs = 25g, Total Calories = 350]",20.0,10.0,25.0,350.0
Buss Up Shut (Paratha Roti),buss-up-shut-paratha-roti-ramin-ganeshram,"[Protein = 5g, Fat = 10g, Carbs = 30g, Total Calories = 250]",5.0,10.0,30.0,250.0
Best Deviled Eggs,deviled-eggs-106562,"[Protein = 20g, Fat = 25g, Carbs = 30g, Total Calories = 450]",20.0,25.0,30.0,450.0
Mango Curry,mango-curry-joe-thottungal,"[Protein = 6g, Fat = 12g, Carbs = 25g, Total Calories = 300]",6.0,12.0,25.0,300.0
Iced Café de Olla,iced-cafe-de-olla,"[Protein = 0g, Fat = 0g, Carbs = 10g, Total Calories = 40]",0.0,0.0,10.0,40.0
Pumpkin Dutch Baby With Pumpkin Butter,pumpkin-dutch-baby-recipe,"[Protein = 12g, Fat = 10g, Carbs = 30g, Total Calories = 350]",12.0,10.0,30.0,350.0
Braised Chicken Legs With Grapes and Fennel,braised-chicken-legs-with-grapes-and-fennel,"[Protein = 60g, Fat = 25g, Carbs = 50g, Total Calories = 750]",60.0,25.0,50.0,750.0
Old-Fashioned Scalloped Potatoes,old-fashioned-scalloped-potatoes-10270,"[Protein = 30g, Fat = 45g, Carbs = 75g, Total Calories = 900]",30.0,45.0,75.0,900.0
Yogurt and Spice Roasted Salmon,easy-yogurt-and-spice-roasted-salmon-sabrina-ghayour,"[Protein = 25g, Fat = 30g, Carbs = 50g, Total Calories = 750]",25.0,30.0,50.0,750.0
Pita,fresh-homemade-pita-alon-shaya,"[Protein = 20g, Fat = 5g, Carbs = 30g, Total Calories = 350]",20.0,5.0,30.0,350.0
Veselka's Famous Borscht,veselkas-famous-borscht,"[Protein = 35g, Fat = 30g, Carbs = 60g, Total Calories = 800]",35.0,30.0,60.0,800.0
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,ghanian-snapper-with-baked-yam-chips,"[Protein = 35g, Fat = 30g, Carbs = 40g, Total Calories = 600]",35.0,30.0,40.0,600.0
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),drunk-apricot-shito-ghanaian-hot-pepper-sauce,"[Protein = 10g, Fat = 5g, Carbs = 20g, Total Calories = 200]",10.0,5.0,20.0,200.0
Summer Bean Soup With Tomato Brown Butter,summer-bean-soup-with-tomato-brown-butter-cortney-burns,"[Protein = 45g, Fat = 95g, Carbs = 170g, Total Calories = 2050]",45.0,95.0,170.0,2050.0
Tomato Brown Butter,tomato-brown-butter-cortney-burns,"[Protein = 4g, Fat = 45g, Carbs = 16g, Total Calories = 500]",4.0,45.0,16.0,500.0
Maple-Roasted Acorn Squash,maple-roasted-acorn-squash-ina-garten,"[Protein = 3g, Fat = 25g, Carbs = 60g, Total Calories = 700]",3.0,25.0,60.0,700.0
Coconut-Creamed Corn and Grains,coconut-creamed-corn-and-grains,"[Protein = 10g, Fat = 22g, Carbs = 70g, Total Calories = 700]",10.0,22.0,70.0,700.0
Tomato and Roasted Garlic Pie,tomato-and-roasted-garlic-pie,"[Protein = 25g, Fat = 75g, Carbs = 120g, Total Calories = 1100]",25.0,75.0,120.0,1100.0
Paneer With Burst Cherry Tomato Sauce,paneer-with-burst-cherry-tomato-sauce,"[Protein = 30g, Fat = 35g, Carbs = 40g, Total Calories = 600]",30.0,35.0,40.0,600.0
Sesame-Scallion Chicken Salad,sesame-scallion-chicken-salad,"[Protein = 40g, Fat = 30g, Carbs = 40g, Total Calories = 550]",40.0,30.0,40.0,550.0
Maple Barbecue Grilled Chicken,maple-soy-barbecue-grilled-chicken,"[Protein = 35g, Fat = 55g, Carbs = 25g, Total Calories = 750]",35.0,55.0,25.0,750.0
Spiced Lamb and Dill Yogurt Pasta,spiced-lamb-and-dill-yogurt-pasta,"[Protein = 40g, Fat = 25g, Carbs = 55g, Total Calories = 650]",40.0,25.0,55.0,650.0
Salt-and-Pepper Fish,pan-seared-salt-and-pepper-fish,"[Protein = 35g, Fat = 20g, Carbs = 60g, Total Calories = 650]",35.0,20.0,60.0,650.0
Salmon Burgers With Ginger and Quick-Pickled Cucumbers,salmon-burgers-with-ginger-and-pickled-cucumbers,"[Protein = 50g, Fat = 35g, Carbs = 40g, Total Calories = 750]",50.0,35.0,40.0,750.0
Fish Tacos al Pastor,fish-tacos-al-pastor,"[Protein = 60g, Fat = 20g, Carbs = 50g, Total Calories = 850]",60.0,20.0,50.0,850.0
Nut Butter Granola Bars,nut-butter-granola-bars,"[Protein = 30g, Fat = 45g, Carbs = 80g, Total Calories = 900]",30.0,45.0,80.0,900.0
Zucchini-Lentil Fritters With Lemony Yogurt,zucchini-lentil-fritters-with-lemony-yogurt,"[Protein = 25g, Fat = 40g, Carbs = 75g, Total Calories = 800]",25.0,40.0,75.0,800.0
Fried Onions,fried-onions-topping,"[Protein = 5g, Fat = 5g, Carbs = 20g, Total Calories = 180]",5.0,5.0,20.0,180.0
Sour Cream and Onion Potato Salad,sour-cream-and-onion-potato-salad,"[Protein = 10g, Fat = 25g, Carbs = 35g, Total Calories = 450]",10.0,25.0,35.0,450.0
Tropi-Cobb Salad,chicken-mango-cobb-salad,"[Protein = 40g, Fat = 40g, Carbs = 60g, Total Calories = 950]",40.0,40.0,60.0,950.0
Pork Meatballs and Cucumber Salad,pork-meatballs-and-cucumber-salad,"[Protein = 35g, Fat = 35g, Carbs = 70g, Total Calories = 850]",35.0,35.0,70.0,850.0
Frozen Avocado Cake,frozen-avocado-cake-nadine-levy-redzepi,"[Protein = 30g, Fat = 40g, Carbs = 55g, Total Calories = 850]",30.0,40.0,55.0,850.0
Chocolate Zucchini Cake,chocolate-zucchini-cake-907,"[Protein = 15g, Fat = 25g, Carbs = 70g, Total Calories = 700]",15.0,25.0,70.0,700.0
Swiss Chard Pasta With Toasted Hazelnuts and Parmesan,swiss-chard-pasta-with-toasted-hazelnuts-and-parmesan,"[Protein = 20g, Fat = 40g, Carbs = 50g, Total Calories = 750]",20.0,40.0,50.0,750.0
Sweet Corn Frittata With Cherry Tomato Compote,sweet-corn-frittata-with-cherry-tomato-compote,"[Protein = 20g, Fat = 35g, Carbs = 50g, Total Calories = 700]",20.0,35.0,50.0,700.0
Tomato Pie With Sour Cream Crust,tomato-pie-sour-cream-crust,"[Protein = 25g, Fat = 30g, Carbs = 80g, Total Calories = 900]",25.0,30.0,80.0,900.0
Pork Chops and Padrón Chiles en Escabèche,pork-chops-and-padron-chiles-en-escabeche,"[Protein = 35g, Fat = 55g, Carbs = 60g, Total Calories = 950]",35.0,55.0,60.0,950.0
Doenjang Jjigae (된장찌개 / Fermented-Soybean Stew),doenjang-jjigae-fermented-soybean-stew-my-korea,"[Protein = 45g, Fat = 20g, Carbs = 40g, Total Calories = 600]",45.0,20.0,40.0,600.0
"Dakgangjeong (닭강정 / Korean Sweet, Crunchy Fried Chicken)",dakgangjeong-korean-sweet-crunchy-fried-chicken-maangchi,"[Protein = 40g, Fat = 35g, Carbs = 45g, Total Calories = 750]",40.0,35.0,45.0,750.0
Spicy Pork Belly Sliders,spicy-pork-belly-sliders-jeyuk-bokkeum-hooni-kim,"[Protein = 20g, Fat = 25g, Carbs = 50g, Total Calories = 650]",20.0,25.0,50.0,650.0
Thai Muslim–Style Grilled Chicken,thai-muslim-style-grilled-chicken,"[Protein = 40g, Fat = 30g, Carbs = 55g, Total Calories = 750]",40.0,30.0,55.0,750.0
Fresh Fruit Tart With Almond Press-In Crust,fresh-fruit-berry-tart-with-almond-press-in-crust,"[Protein = 30g, Fat = 40g, Carbs = 45g, Total Calories = 800]",30.0,40.0,45.0,800.0
Coconut Rice,coconut-rice-leela-punyaratabandhu,"[Protein = 5g, Fat = 15g, Carbs = 60g, Total Calories = 350]",5.0,15.0,60.0,350.0
Peach and Sesame Crumble,peach-and-sesame-crumble,"[Protein = 10g, Fat = 25g, Carbs = 50g, Total Calories = 700]",10.0,25.0,50.0,700.0
Pear and Hazelnut Frangipane Tart,pear-and-hazelnut-frangipane-tart-105747,"[Protein = 20g, Fat = 30g, Carbs = 40g, Total Calories = 600]",20.0,30.0,40.0,600.0
Melted Broccoli Pasta With Capers and Anchovies,melted-broccoli-pasta-sheela-prakash,"[Protein = 25g, Fat = 30g, Carbs = 50g, Total Calories = 750]",25.0,30.0,50.0,750.0
Dashi,my-korea-dashi-hooni-kim,"[Protein = 0g, Fat = 0g, Carbs = 5g, Total Calories = 30]",0.0,0.0,5.0,30.0
Ginger and Tamarind Refresher,ginger-and-tamarind-refresher-nik-sharma,"[Protein = 1g, Fat = 0g, Carbs = 50g, Total Calories = 200]",1.0,0.0,50.0,200.0
Sumac and Saffron Refresher,sumac-and-saffron-refresher-nik-sharma,"[Protein = 1g, Fat = 0g, Carbs = 45g, Total Calories = 180]",1.0,0.0,45.0,180.0
Peanut Butter Brookies,peanut-butter-brookies-edd-kimber,"[Protein = 12g, Fat = 35g, Carbs = 50g, Total Calories = 800]",12.0,35.0,50.0,800.0
"Tacos de Gobernador (Shrimp, Poblano, and Cheese Tacos)",tacos-de-gobernador-shrimp-poblano-and-cheese,"[Protein = 30g, Fat = 30g, Carbs = 40g, Total Calories = 700]",30.0,30.0,40.0,700.0
Kimchi Toast,kimchi-toast,"[Protein = 10g, Fat = 25g, Carbs = 40g, Total Calories = 550]",10.0,25.0,40.0,550.0
Buttered Tomatoes with Ginger,buttered-tomatoes-with-ginger,"[Protein = 5g, Fat = 10g, Carbs = 40g, Total Calories = 300]",5.0,10.0,40.0,300.0
Burst Cherry Tomato Pasta,burst-cherry-tomato-pasta,"[Protein = 25g, Fat = 50g, Carbs = 70g, Total Calories = 1000]",25.0,50.0,70.0,1000.0
Salted PB&J; Ice Cream Pie,salted-peanut-butter-jelly-pbj-ice-cream-pie,"[Protein = 15g, Fat = 35g, Carbs = 60g, Total Calories = 800]",15.0,35.0,60.0,800.0
Farmers Market Farro Bowls,farmers-market-farro-bowls-with-tofu,"[Protein = 25g, Fat = 45g, Carbs = 60g, Total Calories = 950]",25.0,45.0,60.0,950.0
Fancy and Beautiful Tomato Salad,fancy-and-beautiful-tomato-salad,"[Protein = 20g, Fat = 50g, Carbs = 60g, Total Calories = 900]",20.0,50.0,60.0,900.0
Chicken Thighs With Tomatoes and Feta,chicken-thighs-with-tomatoes-and-feta,"[Protein = 30g, Fat = 60g, Carbs = 40g, Total Calories = 1000]",30.0,60.0,40.0,1000.0
Corn and Chickpea Bowls With Miso Tahini,corn-and-chickpea-bowls-with-miso-tahini,"[Protein = 15g, Fat = 30g, Carbs = 45g, Total Calories = 650]",15.0,30.0,45.0,650.0
Stone Fruit Custard Tart,stone-fruit-custard-tart,"[Protein = 30g, Fat = 25g, Carbs = 50g, Total Calories = 750]",30.0,25.0,50.0,750.0
Plátanos Horneados con Crema y Queso (Baked Banana With Crema and Cheese),platanos-horneados-con-crema-y-queso-baked-banana,"[Protein = 10g, Fat = 25g, Carbs = 40g, Total Calories = 550]",10.0,25.0,40.0,550.0
Tamale Pie with Fresh Tomato and Corn,tamale-pie-with-fresh-tomato-and-corn,"[Protein = 35g, Fat = 45g, Carbs = 50g, Total Calories = 900]",35.0,45.0,50.0,900.0
Charred-Peach Panzanella With Pickled Pepper Vinaigrette,charred-peach-panzanella-pickled-pepper-vinaigrette,"[Protein = 20g, Fat = 20g, Carbs = 30g, Total Calories = 450]",20.0,20.0,30.0,450.0
Stuffed Eggplants and Zucchini in a Rich Tomato Sauce (Baatingan w Kusaa Bil Banadoura),stuffed-eggplants-and-zucchini-tomato-sauce-falastin,"[Protein = 50g, Fat = 30g, Carbs = 80g, Total Calories = 1000]",50.0,30.0,80.0,1000.0
"Chicken Meatballs With Molokhieh, Garlic, and Cilantro",chicken-meatballs-with-molokhieh-falastin,"[Protein = 40g, Fat = 30g, Carbs = 50g, Total Calories = 800]",40.0,30.0,50.0,800.0
Instant Pot Bisibelabath,bisibelabath-hot-lentil-rice,"[Protein = 10g, Fat = 35g, Carbs = 50g, Total Calories = 600]",10.0,35.0,50.0,600.0
Tahini-Walnut Magic Shell,tahini-walnut-magic-shell-tara-obrady,"[Protein = 20g, Fat = 35g, Carbs = 55g, Total Calories = 700]",20.0,35.0,55.0,700.0
Django Reinhardt,django-reinhardt-dry-vermouth-cocktail-kat-odell,"[Protein = 20g, Fat = 30g, Carbs = 40g, Total Calories = 650]",20.0,30.0,40.0,650.0
Rosé All Day,rose-all-day-cocktail-day-drinking-kat-odell,"[Protein = 10g, Fat = 15g, Carbs = 25g, Total Calories = 350]",10.0,15.0,25.0,350.0
Lentil Burgers,lentil-veggie-burgers,"[Protein = 20g, Fat = 25g, Carbs = 50g, Total Calories = 700]",20.0,25.0,50.0,700.0
Nurse,nurse-aperitif-cocktail-vermouth-jim-meehan,"[Protein = 10g, Fat = 25g, Carbs = 40g, Total Calories = 550]",10.0,25.0,40.0,550.0
Salad Ramen,salad-ramen,"[Protein = 25g, Fat = 35g, Carbs = 50g, Total Calories = 750]",25.0,35.0,50.0,750.0
Miso-Glazed Salmon With Sushi Rice,miso-glazed-salmon-with-sushi-rice,"[Protein = 30g, Fat = 35g, Carbs = 55g, Total Calories = 800]",30.0,35.0,55.0,800.0
Grilled Carrots With Avocado and Mint,grilled-carrots-with-avocado-and-mint,"[Protein = 15g, Fat = 25g, Carbs = 45g, Total Calories = 600]",15.0,25.0,45.0,600.0
Double Ripple Ice Cream Cake,double-ripple-ice-cream-cake,"[Protein = 5g, Fat = 10g, Carbs = 20g, Total Calories = 250]",5.0,10.0,20.0,250.0
Tiger Fruit Salad,tiger-fruit-salad,"[Protein = 20g, Fat = 25g, Carbs = 40g, Total Calories = 500]",20.0,25.0,40.0,500.0
Grilled Pork Shoulder With Butter Vinegar Sauce,grilled-pork-shoulder-with-butter-vinegar-sauce,"[Protein = 25g, Fat = 35g, Carbs = 45g, Total Calories = 750]",25.0,35.0,45.0,750.0
No-Churn Almond and Raspberry Swirl Ice Cream,no-churn-almond-and-raspberry-swirl-ice-cream,"[Protein = 15g, Fat = 25g, Carbs = 50g, Total Calories = 650]",15.0,25.0,50.0,650.0
No-Churn Fresh Mint and Chocolate Ice Cream,fresh-mint-and-chocolate-ice-cream,"[Protein = 30g, Fat = 40g, Carbs = 50g, Total Calories = 900]",30.0,40.0,50.0,900.0
Bibingkang Cassava (Cassava Cake),cassava-cake-bibingkang-cassava,"[Protein = 30g, Fat = 45g, Carbs = 60g, Total Calories = 1000]",30.0,45.0,60.0,1000.0
Peach Cobbler,peach-cobbler-hot-water,"[Protein = 25g, Fat = 40g, Carbs = 50g, Total Calories = 850]",25.0,40.0,50.0,850.0
Pajeon (파 전 / Scallion Pancakes),scallion-pancakes-pajeon,"[Protein = 20g, Fat = 35g, Carbs = 60g, Total Calories = 800]",20.0,35.0,60.0,800.0
Pajeon Sauce,pajeon-sauce,"[Protein = 5g, Fat = 10g, Carbs = 30g, Total Calories = 250]",5.0,10.0,30.0,250.0
Shaak-no Sambharo (Quick Pickled Vegetables),shaak-no-sambharo-quick-pickled-vegetables,"[Protein = 15g, Fat = 30g, Carbs = 50g, Total Calories = 700]",15.0,30.0,50.0,700.0
Gol-Keri (Quick Mango Achaar),gol-keri-quick-mango-achaar,"[Protein = 20g, Fat = 35g, Carbs = 60g, Total Calories = 800]",20.0,35.0,60.0,800.0
Tortillas de Harina (Flour Tortillas),tortillas-de-harina-flour-tortillas,"[Protein = 25g, Fat = 30g, Carbs = 50g, Total Calories = 750]",25.0,30.0,50.0,750.0
Grilling Cheese With Sweet Peppers and Black Lentils,grilling-cheese-with-sweet-peppers-and-black-lentils-recipe,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 850]",25.0,40.0,60.0,850.0
Grilled Flatfish With Pistachio-Herb Sauce,grilled-flatfish-with-brads-spoon-sauce,"[Protein = 30g, Fat = 45g, Carbs = 70g, Total Calories = 1000]",30.0,45.0,70.0,1000.0
Grilled Mushroom  Antipasto Salad,grilled-mushroom-antipasto-salad,"[Protein = 20g, Fat = 25g, Carbs = 45g, Total Calories = 650]",20.0,25.0,45.0,650.0
Brad’s Spoon Sauce,brads-spoon-sauce,"[Protein = 15g, Fat = 30g, Carbs = 55g, Total Calories = 700]",15.0,30.0,55.0,700.0
No-Churn Labneh and Lime Ice Cream With Granola,labneh-and-lime-ice-cream-with-granola,"[Protein = 15g, Fat = 30g, Carbs = 50g, Total Calories = 700]",15.0,30.0,50.0,700.0
Grilled Eggplant With Garlicky Tahini-Yogurt Sauce,grilled-eggplant-with-garlicky-tahini-yogurt-sauce,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 750]",25.0,35.0,60.0,750.0
Grilled Potatoes With Red Miso Butter,grilled-potatoes-with-red-miso-butter,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 850]",25.0,40.0,60.0,850.0
Cooler-Steamed Corn,grilled-cooler-steamed-corn,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 850]",25.0,40.0,60.0,850.0
Honey-Glazed Pepper Chicken,honey-glazed-pepper-chicken,"[Protein = 35g, Fat = 40g, Carbs = 70g, Total Calories = 900]",35.0,40.0,70.0,900.0
Pork Shoulder Steaks With Horseradish-Mustard Sauce,pork-shoulder-steaks-with-horseradish-mustard-sauce,"[Protein = 35g, Fat = 50g, Carbs = 80g, Total Calories = 1000]",35.0,50.0,80.0,1000.0
Speedy Summer Gazpacho,speedy-summer-gazpacho,"[Protein = 30g, Fat = 45g, Carbs = 70g, Total Calories = 950]",30.0,45.0,70.0,950.0
Black-Eyed Pea Burgers With Creamy Barbecue Sauce and Chowchow,black-eyed-pea-burgers-with-creamy-barbecue-sauce-and-chowchow,"[Protein = 25g, Fat = 30g, Carbs = 55g, Total Calories = 750]",25.0,30.0,55.0,750.0
Chowchow,chowchow,"[Protein = 30g, Fat = 35g, Carbs = 60g, Total Calories = 800]",30.0,35.0,60.0,800.0
Creole Caesar Salad With Corn Bread Croutons,creole-caesar-salad-with-corn-bread-croutons,"[Protein = 30g, Fat = 45g, Carbs = 60g, Total Calories = 900]",30.0,45.0,60.0,900.0
Jerk Potato Salad,jerk-potato-salad,"[Protein = 40g, Fat = 55g, Carbs = 70g, Total Calories = 1100]",40.0,55.0,70.0,1100.0
Grilled Peach Toast With Pimiento Cheese,grilled-peach-toast-with-pimiento-cheese,"[Protein = 25g, Fat = 35g, Carbs = 55g, Total Calories = 800]",25.0,35.0,55.0,800.0
Homestyle Dosas with Tomato Chutney,homestyle-dosas-with-tomato-chutney,"[Protein = 20g, Fat = 30g, Carbs = 50g, Total Calories = 700]",20.0,30.0,50.0,700.0
Shimbra Wat (Chickpeas With Spicy Flaxseed Paste),shimbra-wat-chickpeas-with-spicy-flaxseed-paste,"[Protein = 20g, Fat = 35g, Carbs = 60g, Total Calories = 800]",20.0,35.0,60.0,800.0
Infinity Pool,infinity-pool-mezcal-mlynarczyk,"[Protein = 35g, Fat = 45g, Carbs = 70g, Total Calories = 1000]",35.0,45.0,70.0,1000.0
Division Bell,division-bell-phil-ward-mezcal-emma-janzen,"[Protein = 30g, Fat = 40g, Carbs = 60g, Total Calories = 900]",30.0,40.0,60.0,900.0
Mezcal Mule,mezcal-mule-emma-janzen,"[Protein = 25g, Fat = 35g, Carbs = 55g, Total Calories = 850]",25.0,35.0,55.0,850.0
Electron,electron-carrot-mezcal-cocktail-momose-janzen,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Killer Bee,killer-bee-mezcal-cocktail-nopalito,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
La Pina,la-pina-cocktail-mezcal-pineapple,"[Protein = 25g, Fat = 30g, Carbs = 55g, Total Calories = 800]",25.0,30.0,55.0,800.0
Arinato,arinato-cocktail-ivy-mix,"[Protein = 30g, Fat = 40g, Carbs = 60g, Total Calories = 950]",30.0,40.0,60.0,950.0
Ti' Punch,ti-punch-rhum-agricole-shannon-mustipher,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 900]",25.0,35.0,60.0,900.0
Royal Dock Cooler,royal-dock-cooler-rum-punch,"[Protein = 30g, Fat = 40g, Carbs = 60g, Total Calories = 950]",30.0,40.0,60.0,950.0
Jungle Bird,jungle-bird-cocktail-rum-amaro,"[Protein = 0g, Fat = 0g, Carbs = 23g, Total Calories = 100]",0.0,0.0,23.0,100.0
Savory Gruyère Bread With Ham,savory-gruyere-bread-with-ham-melissa-clark,"[Protein = 28g, Fat = 56g, Carbs = 110g, Total Calories = 950]",28.0,56.0,110.0,950.0
Grilled Cauliflower Wedges With Herb Tarator,grilled-cauliflower-wedges-with-herb-tarator,"[Protein = 14g, Fat = 22g, Carbs = 45g, Total Calories = 500]",14.0,22.0,45.0,500.0
Open-Face Mushroom Sandwiches With Pecorino Salsa Verde,open-face-mushroom-sandwiches-pecorino-salsa-verde,"[Protein = 18g, Fat = 35g, Carbs = 60g, Total Calories = 750]",18.0,35.0,60.0,750.0
